,Localitate,Categorie
Siruta,,
45496,Bradeanu,Femei_18-24
45539,Braesti,Femei_18-24
45619,Breaza,Femei_18-24
45673,Buda,Femei_18-24
45753,Calvini,Femei_18-24
45815,C.a. Rosetti,Femei_18-24
45888,Canesti,Barbati_18-24
45959,Catina,Femei_18-24
46019,Cernatesti,Femei_18-24
46108,Chiliile,Femei_18-24
46180,Chiojdu,Femei_18-24
46251,Cilibia,Barbati_18-24
46313,Cislau,Barbati_18-24
46377,Cochirleanca,Femei_25-34
46439,Colti,Femei_25-34
46484,Costesti,Femei_18-24
46554,Cozieni,Femei_18-24
46769,Galbinasi,Femei_18-24
46803,Gheraseni,Femei_25-34
46830,Ghergheasa,Femei_18-24
46867,Glodeanu Sarat,Femei_18-24
46910,Glodeanu-Silistea,Femei_18-24
47006,Grebanu,Femei_18-24
47079,Gura Teghii,Femei_18-24
47159,Largu,Femei_18-24
47186,Lopatari,Femei_18-24
47300,Luciu,Femei_18-24
47337,Magura,Barbati_18-24
47373,Maracineni,Femei_18-24
47417,Margaritesti,Femei_18-24
47453,Merei,Femei_18-24
47578,Mihailesti,Femei_18-24
47630,Manzalesti,Femei_18-24
47774,Movila Banului,Femei_18-24
47818,Murgesti,Femei_18-24
47854,Naeni,Femei_25-34
47916,Oras Nehoiu,Femei_18-24
48021,Odaile,Femei_25-34
48138,Padina,Femei_25-34
48165,Pardosi,Femei_18-24
48227,Panatau,Barbati_18-24
48325,Oras Patarlagele,Femei_18-24
48487,Pietroasele,Femei_18-24
48557,Parscov,Femei_18-24
48682,Podgoria,Femei_18-24
48744,Oras Pogoanele,Femei_18-24
48771,Posta Calnau,Femei_18-24
48842,Puiesti,Femei_25-34
48922,Racoviteni,Femei_35-44
48968,Ramnicelu,Femei_18-24
49019,Robeasca,Femei_18-24
49046,Rusetu,Femei_18-24
49073,Sageata,Barbati_18-24
49153,Sahateni,Femei_18-24
49206,Sapoca,Femei_18-24
49233,Sarulesti,Femei_18-24
49313,Scortoasa,Femei_18-24
49439,Scutelnici,Femei_18-24
49484,Siriu,Femei_18-24
49545,Smeeni,Barbati_18-24
49625,Stalpu,Femei_18-24
49643,Tisau,Barbati_18-24
49769,Topliceni,Femei_18-24
49849,Tintesti,Barbati_18-24
49894,Ulmeni,Femei_18-24
49956,Vadu Pasii,Femei_18-24
50022,Valea Ramnicului,Femei_18-24
50068,Valea Salciei,Barbati_18-24
50102,Vernesti,Femei_18-24
50228,Vintila Voda,Femei_25-34
50326,Viperesti,Femei_18-24
50399,Valcelele,Femei_18-24
50415,Zarnesti,Femei_18-24
50479,Ziduri,Femei_18-24
50549,Unguriu,Femei_18-24
50564,Florica,Barbati_25-34
50790,Municipiul Resita,Femei_18-24
50889,Oras Anina,Femei_18-24
50923,Oras Baile Herculane,Barbati_18-24
50969,Oras Bocsa,Barbati_18-24
50987,Ocna De Fier,Barbati_18-24
51010,Municipiul Caransebes,Femei_18-24
