,Localitate,Categorie
Siruta,,
94651,Unirea,Femei_18-24
94688,Valea Ciorii,Barbati_18-24
94731,Valcelele,Femei_18-24
94768,Vlad Tepes,Femei_18-24
94795,Vladeni,Barbati_18-24
95060,Municipiul Iasi,Femei_18-24
95088,Barnova,Femei_18-24
95159,Holboca,Barbati_18-24
95239,Rediu,Femei_18-24
95293,Tomesti,Femei_18-24
95355,Oras Harlau,Femei_18-24
95391,Municipiul Pascani,Femei_18-24
95471,Oras Targu Frumos,Femei_18-24
95499,Ion Neculce,Femei_25-34
95612,Alexandru I. Cuza,Femei_18-24
95667,Andrieseni,Femei_18-24
95747,Aroneanu,Femei_18-24
95792,Baltati,Femei_18-24
95872,Belcesti,Femei_25-34
95943,Bivolari,Femei_25-34
96003,Ungheni,Femei_18-24
96058,Braesti,Femei_18-24
96110,Butea,Barbati_18-24
96147,Ceplenita,Femei_18-24
96192,Ciortesti,Barbati_18-24
96254,Ciurea,Femei_18-24
96334,Coarnele Caprei,Barbati_25-34
96370,Comarna,Femei_18-24
96423,Costuleni,Barbati_18-24
96478,Cotnari,Femei_18-24
96593,Cozmesti,Femei_25-34
96637,Cristesti,Femei_25-34
96664,Cucuteni,Femei_18-24
96717,Dagata,Femei_18-24
96815,Deleni,Barbati_18-24
96888,Dobrovat,Femei_18-24
96904,Dolhesti,Barbati_18-24
96940,Dumesti,Barbati_18-24
97009,Erbiceni,Barbati_18-24
97063,Focuri,Femei_18-24
97090,Golaiesti,Femei_18-24
97189,Gorban,Femei_25-34
97241,Grajduri,Femei_18-24
97321,Gropnita,Femei_18-24
97394,Grozesti,Femei_18-24
97438,Halaucesti,Femei_25-34
97465,Helesteni,Barbati_25-34
97517,Horlesti,Barbati_18-24
97553,Ipatele,Femei_18-24
97606,Lespezi,Femei_18-24
97679,Letcani,Femei_18-24
97722,Lungani,Femei_18-24
97777,Madarjac,Femei_18-24
97811,Mircesti,Barbati_25-34
97875,Mironeasa,Femei_18-24
97919,Miroslava,Barbati_18-24
98051,Miroslovesti,Femei_18-24
98113,Mogosesti,Femei_18-24
98168,Mogosesti-Siret,Femei_18-24
98202,Mosna,Femei_18-24
98220,Motca,Femei_25-34
98257,Movileni,Femei_18-24
98300,Oteleni,Barbati_18-24
98337,Plugari,Barbati_18-24
98373,Oras Podu Iloaiei,Femei_18-24
98435,Popesti,Barbati_18-24
98505,Popricani,Femei_18-24
98603,Prisacani,Barbati_18-24
98649,Probota,Femei_18-24
98685,Raducaneni,Barbati_25-34
98738,Romanesti,Femei_25-34
98774,Ruginoasa,Femei_18-24
98827,Schitu Duca,Femei_18-24
98916,Scanteia,Femei_18-24
98998,Scobinti,Femei_18-24
99058,Sinesti,Barbati_18-24
99101,Siretel,Barbati_18-24
99165,Stolniceni-Prajescu,Femei_18-24
99209,Strunga,Femei_18-24
99290,Scheia,Femei_18-24
99370,Sipote,Femei_25-34
99441,Tansa,Femei_25-34
99478,Tatarusi,Femei_18-24
99539,Todiresti,Femei_25-34
99600,Trifesti,Barbati_18-24
99673,Tibana,Femei_18-24
99780,Tibanesti,Femei_18-24
99879,Tiganasi,Femei_18-24
99922,Tutora,Barbati_18-24
99968,Valea Seaca,Femei_18-24
100004,Victoria,Femei_18-24
100086,Vanatori,Femei_25-34
100148,Vladeni,Barbati_18-24
100219,Voinesti,Femei_18-24
100273,Bals,Barbati_18-24
100282,Costesti,Barbati_18-24
100308,Draguseni,Femei_25-34
100317,Fantanele,Femei_18-24
100326,Harmanesti,Barbati_18-24
100335,Rachiteni,Femei_18-24
100344,Roscani,Femei_18-24
100353,Valea Lupului,Barbati_18-24
100362,Ciohorani,Femei_25-34
100521,Municipiul Giurgiu,Femei_18-24
100549,Slobozia,Barbati_18-24
100576,Oras Buftea,Femei_18-24
100610,Municipiul Oltenita,Femei_18-24
100638,Mitreni,Femei_18-24
100683,Municipiul Urziceni,Femei_18-24
100709,Ciocarlia,Barbati_18-24
100736,Manasia,Barbati_18-24
100754,Adancata,Femei_18-24
100781,Adunatii-Copaceni,Femei_18-24
100834,Afumati,Femei_18-24
100852,Alexeni,Femei_18-24
100870,Armasesti,Femei_18-24
100923,Axintele,Femei_18-24
100969,Balotesti,Femei_18-24
101001,Baneasa,Femei_18-24
101056,Barcanesti,Femei_18-24
101083,Belciugatele,Barbati_18-24
101145,Berceni,Femei_18-24
101163,Bolintin-Deal,Femei_18-24
101190,Oras Bolintin-Vale,Femei_18-24
101243,Brazii,Femei_18-24
101298,Branesti,Femei_18-24
101341,Brezoaele,Femei_18-24
101378,Bucsani,Femei_18-24
101458,Oras Budesti,Femei_18-24
101519,Bulbucata,Barbati_18-24
101564,Butimanu,Femei_18-24
101617,Buturugeni,Femei_18-24
101662,Calugareni,Femei_18-24
101724,Cascioarele,Femei_25-34
101742,Cernica,Femei_18-24
101804,Chirnogi,Femei_18-24
101822,Chiselet,Barbati_18-24
101840,Ciocanesti,Femei_18-24
101902,Ciolpani,Femei_18-24
101957,Ciorogarla,Femei_18-24
101984,Clejani,Femei_18-24
102035,Clinceni,Femei_18-24
102071,Colibasi,Femei_18-24
102106,Comana,Barbati_18-24
102160,Corbeanca,Femei_18-24
102213,Cornetu,Femei_18-24
102240,Cosereni,Femei_25-34
102286,Crevedia,Femei_18-24
102348,Crevedia Mare,Femei_18-24
102419,Curcani,Barbati_18-24
102446,Daia,Femei_18-24
102473,Dascalu,Femei_18-24
102525,Darasti-Ilfov,Femei_18-24
102543,1 Decembrie,Femei_18-24
102570,Domnesti,Femei_18-24
102605,Dragomiresti-Vale,Barbati_18-24
102641,Dragoesti,Femei_18-24
102703,Dridu,Femei_18-24
102749,Oras Fierbinti-Targ,Femei_18-24
102794,Floresti-Stoenesti,Femei_18-24
102838,Frasinet,Femei_18-24
102909,Fratesti,Femei_18-24
102945,Frumusani,Femei_18-24
103014,Fundeni,Barbati_18-24
103032,Oras Fundulea,Femei_18-24
103087,Gaiseni,Femei_18-24
103130,Ganeasa,Femei_18-24
103194,Gaujani,Femei_18-24
103238,Ghimpati,Femei_18-24
103283,Garbovi,Barbati_18-24
103309,Gogosari,Femei_18-24
103354,Gostinu,Femei_18-24
103372,Gostinari,Femei_18-24
103407,Gradinari,Femei_18-24
103443,Gradistea,Femei_18-24
103470,Greaca,Femei_18-24
103513,Gruiu,Femei_18-24
103568,Gurbanesti,Femei_25-34
103639,Hotarele,Femei_18-24
103693,Iepuresti,Femei_18-24
103764,Ileana,Femei_18-24
103862,Ion Roata,Femei_18-24
103899,Izvoarele,Femei_18-24
103960,Jilavele,Barbati_18-24
103997,Joita,Femei_18-24
104047,Letca Noua,Femei_18-24
104083,Luica,Barbati_18-24
104118,Mihai Bravu,Femei_18-24
104136,Oras Mihailesti,Femei_18-24
104181,Manastirea,Femei_18-24
104225,Marsa,Femei_18-24
104243,Moara Vlasiei,Femei_18-24
104270,Movilita,Femei_65_
104323,Nana,Femei_25-34
104341,Nicolae Balcescu,Femei_18-24
104387,Niculesti,Femei_18-24
104421,Nuci,Femei_18-24
104485,Ogrezeni,Femei_18-24
104519,Oinacu,Femei_18-24
104546,Peris,Barbati_18-24
104582,Petrachioaia,Barbati_18-24
104635,Plataresti,Femei_18-24
104680,Prundu,Femei_18-24
104715,Putineiu,Femei_18-24
104751,Radovanu,Femei_18-24
104788,Rasuceni,Barbati_18-24
104831,Roata De Jos,Femei_18-24
104886,Sarulesti,Femei_18-24
104975,Schitu,Barbati_18-24
105026,Sinesti,Femei_18-24
105106,Singureni,Femei_18-24
105142,Slobozia Moara,Femei_18-24
105160,Snagov,Femei_18-24
105222,Sohatu,Femei_18-24
105259,Spantov,Femei_18-24
105295,Stanesti,Femei_18-24
105348,Stoenesti,Femei_18-24
105384,Soldanu,Femei_18-24
105419,Stefanestii De Jos,Femei_18-24
105455,Tamadau Mare,Femei_18-24
105534,Tartasesti,Femei_18-24
105570,Tunari,Femei_18-24
105605,Ulmeni,Femei_18-24
105623,Ulmi,Barbati_18-24
105712,Valea Argovei,Femei_25-34
105776,Valea Dragului,Femei_18-24
105794,Valea Macrisului,Barbati_18-24
105829,Vasilati,Femei_18-24
105874,Varasti,Femei_18-24
105909,Vedea,Femei_18-24
105936,Vidra,Femei_18-24
105972,Vanatorii Mici,Femei_18-24
106318,Municipiul Baia Mare,Femei_18-24
106363,Grosi,Femei_18-24
106407,Recea,Femei_18-24
106461,Oras Tautii-Magheraus,Femei_18-24
106559,Municipiul Sighetu Marmatiei,Femei_18-24
106620,Sarasau,Femei_18-24
106648,Vadu Izei,Femei_18-24
106684,Oras Baia Sprie,Femei_18-24
106746,Oras Borsa,Femei_18-24
106782,Oras Cavnic,Barbati_18-24
106817,Oras Targu Lapus,Femei_18-24
106979,Oras Viseu De Sus,Barbati_18-24
107001,Ardusat,Femei_18-24
107047,Arinis,Femei_18-24
107083,Asuaju De Sus,Femei_18-24
107118,Baita De Sub Codru,Femei_18-24
107154,Baiut,Femei_18-24
107190,Basesti,Femei_18-24
107234,Bicaz,Femei_18-24
107270,Bistra,Femei_18-24
107314,Barsana,Femei_18-24
107350,Bocicoiu Mare,Femei_18-24
107403,Bogdan Voda,Femei_18-24
107430,Boiu Mare,Femei_18-24
107485,Botiza,Barbati_25-34
107519,Budesti,Barbati_18-24
107546,Calinesti,Barbati_18-24
107582,Cernesti,Femei_25-34
107662,Cicarlau,Femei_18-24
107715,Campulung La Tisa,Barbati_18-24
107733,Copalnic-Manastur,Femei_18-24
107868,Coroieni,Femei_18-24
107920,Cupseni,Femei_18-24
107975,Desesti,Femei_18-24
108017,Oras Dragomiresti,Femei_18-24
108035,Dumbravita,Barbati_18-24
108106,Farcasa,Barbati_18-24
108151,Giulesti,Femei_18-24
108204,Ieud,Barbati_18-24
108222,Lapus,Barbati_18-24
108240,Leordina,Barbati_18-24
108268,Miresu Mare,Barbati_18-24
108348,Moisei,Femei_18-24
108366,Oarta De Jos,Barbati_18-24
108400,Ocna Sugatag,Barbati_18-24
108455,Petrova,Barbati_18-24
108473,Poienile De Sub Munte,Barbati_18-24
108491,Remetea Chioarului,Femei_18-24
108552,Remeti,Barbati_18-24
108598,Repedea,Barbati_18-24
108614,Rona De Jos,Femei_18-24
108632,Rona De Sus,Femei_18-24
108669,Rozavlea,Barbati_18-24
108696,Ruscova,Barbati_18-24
108712,Satulung,Femei_18-24
108794,Sacalaseni,Femei_18-24
108874,Sacel,Femei_18-24
108892,Oras Salistea De Sus,Femei_18-24
108918,Salsig,Femei_18-24
108945,Sapanta,Barbati_18-24
108963,Oras Seini,Femei_18-24
109005,Stramtura,Barbati_18-24
109041,Suciu De Sus,Femei_18-24
109096,Sisesti,Barbati_18-24
109176,Oras Somcuta Mare,Femei_18-24
109265,Oras Ulmeni,Femei_18-24
109354,Valea Chioarului,Femei_18-24
109425,Vima Mica,Femei_25-34
109504,Viseu De Jos,Femei_18-24
109773,Municipiul Drobeta-Turnu Severin,Femei_18-24
109826,Simian,Femei_18-24
109924,Oras Baia De Arama,Femei_18-24
110027,Obarsia-Closani,Barbati_18-24
110063,Municipiul Orsova,Barbati_18-24
110116,Oras Strehaia,Femei_18-24
110232,Oras Vanju Mare,Femei_18-24
110296,Bala,Femei_18-24
110456,Balta,Barbati_18-24
110535,Balacita,Femei_18-24
110571,Bacles,Femei_18-24
110688,Balvanesti,Femei_18-24
110740,Breznita-Motru,Barbati_18-24
110820,Breznita-Ocol,Femei_18-24
110875,Brosteni,Femei_18-24
110946,Burila Mare,Femei_18-24
111006,Butoiesti,Femei_18-24
111097,Cazanesti,Femei_18-24
111220,Ciresu,Femei_18-24
111275,Corcova,Femei_18-24
111417,Corlatel,Barbati_25-34
111444,Cujmir,Femei_18-24
111480,Devesel,Barbati_18-24
111550,Darvari,Femei_18-24
111587,Dumbrava,Barbati_18-24
111685,Floresti,Femei_18-24
111783,Garla Mare,Femei_18-24
111818,Godeanu,Barbati_18-24
111863,Gogosu,Femei_18-24
111916,Greci,Femei_18-24
111989,Grozesti,Femei_18-24
112030,Gruia,Barbati_18-24
112076,Hinova,Femei_18-24
112129,Husnicioara,Femei_18-24
112245,Eselnita,Barbati_18-24
112263,Ilovat,Femei_18-24
112334,Ilovita,Barbati_18-24
112370,Isverna,Barbati_18-24
112469,Izvoru Barzii,Femei_18-24
112548,Jiana,Femei_18-24
112600,Livezile,Femei_18-24
112664,Malovat,Barbati_18-24
112744,Obarsia De Camp,Femei_18-24
112771,Oprisor,Femei_18-24
112806,Padina,Femei_18-24
112879,Patulele,Femei_18-24
112904,Dubova,Femei_18-24
112959,Podeni,Barbati_18-24
112995,Ponoarele,Femei_18-24
113153,Poroina Mare,Femei_18-24
113206,Pristol,Femei_18-24
113233,Prunisor,Femei_18-24
113395,Punghina,Barbati_18-24
113466,Rogova,Barbati_18-24
113493,Salcia,Femei_18-24
113518,Stangaceaua,Femei_18-24
113607,Svinita,Femei_18-24
113625,Sisesti,Barbati_18-24
113698,Sovarna,Femei_18-24
113732,Tamna,Barbati_18-24
113849,Vanatori,Femei_25-34
113894,Vanjulet,Femei_18-24
113929,Vladaia,Femei_18-24
113974,Voloiac,Barbati_18-24
114060,Branistea,Femei_18-24
114079,Vrata,Femei_18-24
114319,Municipiul Targu Mures,Femei_18-24
114355,Cristesti,Femei_18-24
114382,Sancraiu De Mures,Femei_18-24
114417,Sangeorgiu De Mures,Femei_18-24
114453,Santana De Mures,Femei_18-24
114514,Municipiul Sighisoara,Femei_18-24
114603,Albesti,Femei_18-24
114710,Oras Ludus,Femei_25-34
114809,Municipiul Reghin,Femei_18-24
114854,Oras Sovata,Barbati_18-24
114925,Municipiul Tarnaveni,Femei_18-24
114970,Acatari,Femei_18-24
115076,Adamus,Femei_25-34
115147,Alunis,Femei_18-24
115183,Apold,Femei_18-24
115236,Atintis,Femei_18-24
115307,Bahnea,Barbati_18-24
115389,Band,Femei_18-24
115520,Batos,Femei_18-24
115575,Bagaciu,Barbati_35-44
115600,Bala,Femei_25-34
115637,Balauseri,Femei_18-24
115708,Beica De Jos,Femei_18-24
115771,Bichis,Barbati_35-44
115824,Bogata,Femei_25-34
115851,Breaza,Barbati_25-34
115897,Brancovenesti,Barbati_18-24
115959,Ceuasu De Campie,Femei_18-24
116046,Chetani,Barbati_18-24
116126,Chiheru De Jos,Femei_18-24
116171,Coroisanmartin,Femei_18-24
116224,Cozma,Femei_18-24
116288,Craciunesti,Femei_18-24
116340,Craiesti,Femei_18-24
116395,Cucerdea,Femei_18-24
116439,Cuci,Femei_25-34
116493,Danes,Barbati_18-24
116545,Deda,Barbati_18-24
116590,Eremitu,Femei_18-24
116652,Ernei,Femei_18-24
116723,Faragau,Barbati_18-24
116796,Fantanele,Femei_18-24
116867,Galesti,Femei_18-24
116938,Ganesti,Barbati_18-24
116983,Gheorghe Doja,Femei_18-24
117042,Ghindari,Barbati_18-24
117113,Glodeni,Femei_18-24
117177,Gornesti,Femei_18-24
117275,Grebenisu De Campie,Barbati_18-24
117319,Gurghiu,Barbati_18-24
117426,Hodac,Femei_18-24
117505,Hodosa,Femei_18-24
117550,Ibanesti,Femei_18-24
117667,Iclanzel,Femei_18-24
117783,Ideciu De Jos,Femei_18-24
117827,Oras Iernut,Femei_18-24
117925,Livezeni,Barbati_18-24
117998,Lunca,Femei_25-34
118058,Lunca Bradului,Femei_18-24
118094,Magherani,Barbati_18-24
118209,Mica,Femei_18-24
118281,Oras Miercurea Nirajului,Barbati_18-24
118370,Mihesu De Campie,Femei_18-24
118469,Nades,Femei_18-24
118511,Neaua,Barbati_18-24
118575,Ogra,Femei_18-24
118637,Papiu Ilarian,Barbati_18-24
118691,Panet,Femei_18-24
118753,Pasareni,Barbati_18-24
118799,Petelea,Femei_18-24
118824,Pogaceaua,Femei_25-34
118931,Rastolita,Femei_18-24
118995,Raciu,Femei_18-24
119153,Rusii-Munti,Femei_18-24
119206,Saschiz,Femei_18-24
119242,Oras Sarmasu,Femei_25-34
119331,Oras Sangeorgiu De Padure,Femei_18-24
119386,Sanger,Femei_18-24
119466,Sanpaul,Femei_18-24
119527,Sanpetru De Campie,Femei_25-34
119590,Solovastru,Femei_18-24
119625,Stanceni,Femei_18-24
119661,Suplac,Femei_18-24
119723,Suseni,Barbati_18-24
119750,Saulia,Femei_18-24
119803,Sincai,Femei_25-34
119858,Taureni,Femei_18-24
119894,Oras Ungheni,Femei_18-24
119974,Valea Larga,Femei_25-34
120076,Vargata,Femei_18-24
120138,Vatava,Barbati_18-24
120174,Vetca,Barbati_18-24
120218,Viisoara,Femei_25-34
120254,Vanatori,Barbati_18-24
120316,Voivodeni,Femei_18-24
120343,Zagar,Femei_18-24
120370,Zau De Campie,Femei_18-24
120478,Chibed,Barbati_18-24
120487,Corunca,Femei_18-24
120496,Sarateni,Femei_18-24
120502,Madaras,Femei_18-24
120511,Bereni,Femei_18-24
120726,Municipiul Piatra-Neamt,Femei_18-24
120771,Dumbrava Rosie,Barbati_18-24
120824,Savinesti,Barbati_18-24
120860,Municipiul Roman,Femei_18-24
120888,Cordun,Femei_18-24
120922,Horia,Femei_18-24
120968,Oras Bicaz,Femei_18-24
121055,Oras Targu Neamt,Femei_18-24
121108,Agapia,Barbati_18-24
121153,Bahna,Femei_18-24
121242,Baltatesti,Femei_18-24
121297,Bicaz-Chei,Femei_18-24
121340,Bicazu Ardelean,Femei_18-24
121386,Bira,Barbati_18-24
121466,Bargauani,Femei_25-34
121607,Bodesti,Femei_18-24
121652,Borca,Femei_18-24
121732,Borlesti,Femei_18-24
121796,Botesti,Femei_25-34
121876,Bozieni,Femei_18-24
121938,Brusturi,Femei_18-24
122025,Ceahlau,Barbati_18-24
122061,Candesti,Femei_25-34
122132,Costisa,Barbati_18-24
122187,Cracaoani,Femei_18-24
122249,Damuc,Femei_18-24
122285,Dobreni,Femei_18-24
122347,Doljesti,Femei_18-24
122392,Dragomiresti,Femei_18-24
122463,Dulcesti,Femei_25-34
122551,Farcasa,Femei_18-24
122613,Faurei,Femei_18-24
122668,Gheraesti,Barbati_18-24
122702,Girov,Femei_18-24
122828,Garcina,Barbati_25-34
122864,Grinties,Femei_18-24
122908,Grumazesti,Femei_18-24
122953,Hangu,Barbati_18-24
123013,Icusesti,Femei_18-24
123102,Ion Creanga,Barbati_18-24
123175,Margineni,Femei_25-34
123228,Moldoveni,Femei_18-24
123255,Oniceni,Femei_18-24
123371,Pastraveni,Femei_18-24
123424,Petricani,Femei_18-24
123479,Piatra Soimului,Femei_18-24
123521,Pipirig,Femei_18-24
123601,Pangarati,Femei_18-24
123674,Podoleni,Femei_18-24
123709,Poienari,Femei_18-24
123790,Poiana Teiului,Femei_18-24
123914,Raucesti,Femei_18-24
123969,Razboieni,Barbati_18-24
124028,Rediu,Femei_18-24
124073,Romani,Barbati_18-24
124117,Oras Roznov,Femei_18-24
124153,Sagna,Barbati_18-24
124206,Sabaoani,Femei_18-24
124233,Secuieni,Femei_18-24
124331,Stanita,Femei_18-24
124411,Stefan Cel Mare,Femei_18-24
124493,Tarcau,Femei_18-24
124563,Tasca,Femei_18-24
124616,Tazlau,Femei_18-24
124634,Tamaseni,Barbati_18-24
124661,Timisesti,Femei_18-24
124723,Trifesti,Femei_18-24
124750,Tupilati,Barbati_18-24
124803,Tibucani,Barbati_18-24
124849,Urecheni,Femei_18-24
124885,Valea Ursului,Barbati_18-24
124938,Alexandru Cel Bun,Femei_18-24
125016,Vanatori-Neamt,Femei_18-24
125061,Zanesti,Femei_18-24
125098,Dochia,Femei_18-24
125105,Ruginoasa,Femei_18-24
125114,Ghindaoani,Barbati_25-34
125123,Valeni,Femei_18-24
125132,Draganesti,Femei_18-24
125141,Pancesti,Femei_18-24
125150,Gadinti,Femei_18-24
125169,Negresti,Barbati_18-24
125178,Boghicea,Femei_18-24
125347,Municipiul Slatina,Femei_18-24
125374,Slatioara,Femei_18-24
125418,Oras Bals,Femei_18-24
125472,Municipiul Caracal,Femei_18-24
125490,Draghiceni,Femei_18-24
125542,Oras Corabia,Femei_18-24
125588,Garcov,Barbati_18-24
125622,Oras Draganesti-Olt,Femei_18-24
125659,Babiciu,Femei_18-24
125677,Baldovinesti,Femei_18-24
125757,Barasti,Femei_18-24
125846,Barza,Barbati_18-24
125873,Bobicesti,Femei_18-24
125962,Brastavatu,Femei_18-24
125999,Brebeni,Femei_18-24
126022,Brancoveni,Femei_18-24
126077,Bucinisu,Femei_18-24
126102,Cezieni,Femei_18-24
126148,Cilieni,Femei_18-24
126166,Carlogani,Femei_18-24
126228,Colonesti,Femei_18-24
126326,Corbu,Femei_18-24
126380,Coteana,Femei_18-24
126406,Crampoia,Femei_18-24
126433,Curtisoara,Femei_18-24
126503,Cungrea,Femei_18-24
126585,Daneasa,Barbati_18-24
126647,Deveselu,Femei_18-24
126674,Dobretu,Femei_18-24
126718,Dobrosloveni,Barbati_18-24
126772,Dobroteasa,Femei_18-24
126825,Dobrun,Femei_18-24
126905,Fagetelu,Barbati_18-24
126978,Falcoiu,Femei_18-24
127019,Farcasele,Barbati_18-24
127064,Ganeasa,Femei_18-24
127126,Giuvarasti,Femei_25-34
127144,Gostavatu,Femei_18-24
127171,Gradinari,Femei_25-34
127224,Grojdibodu,Femei_18-24
127251,Ianca,Femei_18-24
127288,Iancu Jianu,Femei_18-24
127322,Icoana,Femei_18-24
127368,Izbiceni,Femei_18-24
127386,Izvoarele,Femei_25-34
127411,Leleasca,Femei_18-24
127493,Maruntei,Femei_18-24
127536,Mihaesti,Femei_18-24
127563,Milcov,Femei_18-24
127625,Morunglav,Femei_18-24
127689,Movileni,Femei_18-24
127714,Nicolae Titulescu,Femei_18-24
127750,Obarsia,Femei_18-24
127812,Oboga,Femei_18-24
127858,Oporelu,Femei_25-34
127901,Optasi-Magura,Barbati_18-24
127938,Orlea,Femei_18-24
127983,Osica De Sus,Femei_18-24
128052,Perieti,Femei_18-24
128105,Oras Piatra-Olt,Femei_18-24
128178,Parscoveni,Femei_18-24
128221,Plesoiu,Femei_18-24
128301,Poboru,Femei_18-24
128374,Oras Potcoava,Femei_18-24
128436,Priseaca,Femei_18-24
128472,Radomiresti,Femei_18-24
128524,Redea,Femei_18-24
128560,Rotunda,Barbati_18-24
128588,Rusanesti,Barbati_18-24
128613,Scarisoara,Femei_18-24
128659,Schitu,Femei_18-24
128711,Oras Scornicesti,Femei_18-24
128864,Seaca,Femei_18-24
128882,Samburesti,Femei_18-24
128962,Spineni,Barbati_18-24
129040,Sprancenata,Femei_18-24
129095,Stoenesti,Femei_18-24
129111,Stoicanesti,Femei_25-34
129139,Strejesti,Femei_18-24
129184,Studina,Barbati_18-24
129246,Serbanesti,Femei_18-24
129282,Stefan Cel Mare,Femei_18-24
129317,Tatulesti,Femei_18-24
129380,Teslui,Femei_18-24
129460,Tia Mare,Femei_18-24
129503,Topana,Femei_18-24
129567,Traian,Femei_18-24
129585,Tufeni,Femei_25-34
129629,Urzica,Barbati_18-24
129656,Valea Mare,Femei_18-24
129718,Vadastra,Barbati_18-24
129745,Vadastrita,Femei_25-34
129763,Valeni,Barbati_18-24
129816,Verguleasa,Barbati_18-24
129898,Visina,Femei_18-24
129914,Vitomiresti,Barbati_18-24
129987,Valcele,Femei_18-24
130026,Vladila,Femei_18-24
130062,Voineasa,Femei_18-24
130124,Vulpeni,Femei_18-24
130231,Vulturesti,Femei_18-24
130286,Balteni,Femei_18-24
130295,Calui,Femei_18-24
130302,Gavanesti,Femei_18-24
130311,Ghimpeteni,Barbati_18-24
130320,Gradinile,Femei_18-24
130339,Gura Padinii,Barbati_18-24
130348,Ipotesti,Femei_18-24
130357,Osica De Jos,Femei_18-24
130366,Sarbii - Magura,Femei_18-24
130375,Visina Noua,Femei_18-24
130384,Soparlita,Femei_18-24
130534,Municipiul Ploiesti,Femei_18-24
130552,Barcanesti,Femei_18-24
130614,Berceni,Barbati_18-24
130678,Blejoi,Femei_18-24
130712,Brazi,Femei_18-24
130785,Bucov,Barbati_18-24
130847,Paulesti,Femei_18-24
130892,Targsoru Vechi,Femei_18-24
130954,Oras Azuga,Barbati_18-24
130981,Oras Baicoi,Barbati_18-24
131069,Oras Boldesti-Scaeni,Femei_18-24
131103,Oras Breaza,Femei_18-24
131210,Oras Busteni,Femei_18-24
131256,Municipiul Campina,Femei_18-24
131274,Poiana Campina,Femei_18-24
131336,Oras Comarnic,Femei_18-24
131407,Oras Mizil,Femei_18-24
131443,Oras Plopeni,Femei_18-24
131461,Dumbravesti,Femei_18-24
131540,Oras Sinaia,Barbati_18-24
131577,Oras Slanic,Femei_18-24
131620,Oras Urlati,Femei_18-24
131817,Oras Valenii De Munte,Femei_18-24
131835,Gura Vitioarei,Femei_18-24
131899,Adunati,Femei_18-24
131933,Albesti-Paleologu,Femei_18-24
131988,Alunis,Femei_18-24
132011,Apostolache,Femei_25-34
132075,Aricestii Rahtivani,Femei_18-24
132137,Aricestii Zeletin,Barbati_18-24
132164,Baba Ana,Femei_18-24
132226,Balta Doamnei,Femei_18-24
132271,Baltesti,Femei_18-24
132315,Banesti,Femei_18-24
132342,Bertea,Femei_25-34
132379,Boldesti-Gradistea,Femei_18-24
132404,Brebu,Femei_18-24
132459,Calugareni,Femei_35-44
132486,Carbunesti,Femei_18-24
132510,Ceptura,Femei_25-34
132574,Cerasu,Femei_18-24
132645,Chiojdeanca,Femei_18-24
132681,Ciorani,Femei_18-24
132716,Cocorastii Mislii,Femei_18-24
132752,Colceag,Femei_25-34
132805,Cornu,Femei_18-24
132841,Cosminele,Femei_18-24
132896,Drajna,Femei_18-24
133018,Draganesti,Femei_18-24
133090,Dumbrava,Femei_18-24
133161,Filipestii De Padure,Femei_18-24
133214,Filipestii De Targ,Femei_18-24
133278,Fantanele,Femei_18-24
133330,Floresti,Femei_18-24
133394,Fulga,Femei_18-24
133429,Gherghita,Femei_18-24
133508,Gorgota,Femei_18-24
133562,Gornet,Barbati_18-24
133615,Gornet-Cricov,Femei_18-24
133688,Gura Vadului,Barbati_18-24
133722,Iordacheanu,Barbati_18-24
133795,Izvoarele,Femei_18-24
133866,Jugureni,Femei_18-24
133919,Lapos,Femei_18-24
133964,Lipanesti,Femei_25-34
134014,Magurele,Femei_25-34
134050,Magureni,Femei_18-24
134096,Maneciu,Femei_18-24
134194,Manesti,Femei_18-24
134336,Pacureti,Femei_18-24
134390,Plopu,Femei_18-24
134443,Podenii Noi,Femei_18-24
134559,Poienarii Burchii,Femei_18-24
134648,Posesti,Femei_18-24
134755,Predeal-Sarari,Barbati_18-24
134853,Provita De Jos,Femei_18-24
134899,Provita De Sus,Barbati_18-24
134942,Puchenii Mari,Barbati_18-24
135020,Rafov,Femei_18-24
135128,Salcia,Barbati_25-34
135146,Salciile,Barbati_18-24
135164,Scorteni,Barbati_18-24
135226,Secaria,Femei_18-24
135244,Sangeru,Femei_18-24
135315,Starchiojd,Femei_18-24
135404,Surani,Femei_18-24
135431,Sirna,Femei_18-24
135501,Soimari,Barbati_18-24
135547,Sotrile,Femei_18-24
135618,Stefesti,Femei_18-24
135654,Talea,Femei_18-24
135681,Tataru,Barbati_18-24
135725,Teisani,Barbati_18-24
135789,Telega,Femei_18-24
135850,Tinosu,Barbati_18-24
135896,Tomsani,Femei_18-24
135949,Valea Calugareasca,Femei_18-24
136107,Valea Doftanei,Barbati_18-24
136134,Varbilau,Femei_18-24
136198,Valcanesti,Barbati_18-24
136241,Cocorastii Colt,Femei_18-24
136250,Olari,Femei_18-24
136269,Vadu Sapat,Femei_25-34
136278,Batrani,Femei_18-24
136483,Municipiul Satu Mare,Femei_18-24
136526,Municipiul Carei,Barbati_18-24
136553,Capleni,Barbati_18-24
136599,Oras Negresti-Oas,Barbati_18-24
136642,Oras Tasnad,Femei_18-24
136713,Acas,Barbati_65_
136768,Andrid,Barbati_18-24
136802,Apa,Femei_18-24
